first_team,second_team,stadium,winner
Sunrisers Hyderabad , Royal Challengers Bangalore,"Rajiv Gandhi International Stadium, Hyderabad",Sunrisers Hyderabad 
Rising Pune Supergiant , Mumbai Indians,"Maharashtra Cricket Association Stadium, Pune",Rising Pune Supergiant 
Gujarat Lions , Kolkata Knight Riders,"Saurashtra Cricket Association Stadium, Rajkot",Kolkata Knight Riders 
Kings XI Punjab , Rising Pune Supergiant,"Holkar Cricket Stadium, Indore",Kings XI Punjab 
Royal Challengers Bangalore , Delhi Daredevils,"M.Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore 
Sunrisers Hyderabad , Gujarat Lions,"Rajiv Gandhi International Stadium, Hyderabad",Sunrisers Hyderabad 
Mumbai Indians , Kolkata Knight Riders,"Wankhede Stadium, Mumbai",Mumbai Indians 
Kings XI Punjab , Royal Challengers Bangalore,"Holkar Cricket Stadium, Indore",Kings XI Punjab 
Rising Pune Supergiant , Delhi Daredevils,"Maharashtra Cricket Association Stadium, Pune",Delhi Daredevils 
Mumbai Indians , Sunrisers Hyderabad,"Wankhede Stadium, Mumbai",Mumbai Indians 
Kolkata Knight Riders , Kings XI Punjab,"Eden Gardens, Kolkata",Kolkata Knight Riders 
Royal Challengers Bangalore , Mumbai Indians,"M.Chinnaswamy Stadium, Bengaluru",Mumbai Indians 
Gujarat Lions , Rising Pune Supergiant,"Saurashtra Cricket Association Stadium, Rajkot",Gujarat Lions 
Kolkata Knight Riders , Sunrisers Hyderabad,"Eden Gardens, Kolkata",Kolkata Knight Riders 
Delhi Daredevils , Kings XI Punjab,"Feroz Shah Kotla, Delhi",Delhi Daredevils 
Mumbai Indians , Gujarat Lions,"Wankhede Stadium, Mumbai",Mumbai Indians 
Royal Challengers Bangalore , Rising Pune Supergiant,"M.Chinnaswamy Stadium, Bengaluru",Rising Pune Supergiant 
Delhi Daredevils , Kolkata Knight Riders,"Feroz Shah Kotla, Delhi",Kolkata Knight Riders 
